 Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1148
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING       872
  TCP    0.0.0.0:1103           0.0.0.0:0              LISTENING       5952
  TCP    0.0.0.0:3011           0.0.0.0:0              LISTENING       5488
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       7068
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:11532          0.0.0.0:0              LISTENING       24792
  TCP    0.0.0.0:14067          0.0.0.0:0              LISTENING       26364
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       5952
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       928
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       596
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1812
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1864
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4628
  TCP    0.0.0.0:50450          0.0.0.0:0              LISTENING       23220
  TCP    0.0.0.0:59880          0.0.0.0:0              LISTENING       1472
  TCP    127.0.0.1:22           0.0.0.0:0              LISTENING       34044
  TCP    127.0.0.1:80           0.0.0.0:0              LISTENING       34044
  TCP    127.0.0.1:443          0.0.0.0:0              LISTENING       34044
  TCP    127.0.0.1:443          127.0.0.1:1249         ESTABLISHED     34044
  TCP    127.0.0.1:1001         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:1034         127.0.0.1:1035         ESTABLISHED     5952
  TCP    127.0.0.1:1035         127.0.0.1:1034         ESTABLISHED     5952
  TCP    127.0.0.1:1036         127.0.0.1:1037         ESTABLISHED     5952
  TCP    127.0.0.1:1037         127.0.0.1:1036         ESTABLISHED     5952
  TCP    127.0.0.1:1249         127.0.0.1:443          ESTABLISHED     30904
  TCP    127.0.0.1:1662         127.0.0.1:9100         ESTABLISHED     23388
  TCP    127.0.0.1:1663         127.0.0.1:9010         ESTABLISHED     8376
  TCP    127.0.0.1:2037         127.0.0.1:3525         TIME_WAIT       0
  TCP    127.0.0.1:2040         127.0.0.1:2041         ESTABLISHED     32368
  TCP    127.0.0.1:2041         127.0.0.1:2040         ESTABLISHED     32368
  TCP    127.0.0.1:2042         127.0.0.1:3525         ESTABLISHED     32368
  TCP    127.0.0.1:2109         127.0.0.1:6472         SYN_SENT        23388
  TCP    127.0.0.1:3257         127.0.0.1:3258         ESTABLISHED     35920
  TCP    127.0.0.1:3258         127.0.0.1:3257         ESTABLISHED     35920
  TCP    127.0.0.1:3261         127.0.0.1:3269         ESTABLISHED     35920
  TCP    127.0.0.1:3269         127.0.0.1:3261         ESTABLISHED     35920
  TCP    127.0.0.1:3270         127.0.0.1:3274         ESTABLISHED     35920
